Variant,Total_Problems,Solved_KKT,Success_Rate,Mean_Time_ms,Mean_Iterations
2P_APR1_BQ1_ATR0_URU1_SQP_SPECTRAL,534,196,36.70411985018727,128.95866698979592,36.36224489795919
2P_APR0_BQ1_ATR1_URU0_SQP_IDENTITY,534,190,35.580524344569284,281.18049495263165,51.01052631578948
2P_APR1_BQ1_ATR1_URU1_SQP_IDENTITY,534,190,35.580524344569284,281.6855079157894,51.01052631578948
2P_APR1_BQ1_ATR1_URU0_SQP_IDENTITY,534,190,35.580524344569284,281.8022577157895,51.01052631578948
2P_APR0_BQ1_ATR1_URU1_SQP_IDENTITY,534,190,35.580524344569284,283.49934630526315,51.01052631578948
2P_APR0_BQ1_ATR1_URU1_SQP_SPECTRAL,534,189,35.39325842696629,316.76437335449737,50.65608465608466
2P_APR0_BQ1_ATR1_URU0_SQP_SPECTRAL,534,189,35.39325842696629,319.34242488888896,50.65608465608466
2P_APR1_BQ1_ATR1_URU0_SQP_SPECTRAL,534,189,35.39325842696629,319.8676765132275,50.65608465608466
2P_APR1_BQ1_ATR1_URU1_SQP_SPECTRAL,534,189,35.39325842696629,321.38223782539677,50.65608465608466
BASE_2P,534,183,34.26966292134831,876.3521440382516,43.40983606557377
2P_APR1_BQ0_ATR0_URU1,534,183,34.26966292134831,906.0286542021856,43.40983606557377
2P_APR1_BQ0_ATR0_URU0_SQP_IDENTITY,534,176,32.958801498127336,158.5601801534091,46.26704545454545
2P_APR1_BQ0_ATR0_URU1_SQP_IDENTITY,534,176,32.958801498127336,164.52474626704546,46.26704545454545
2P_APR1_BQ0_ATR0_URU1_SQP_SPECTRAL,534,172,32.20973782771536,175.9320667790698,44.93604651162791
2P_APR1_BQ0_ATR0_URU0_SQP_SPECTRAL,534,172,32.20973782771536,176.31296209883723,44.93604651162791
SLP_APR1_BQ1_ATR1_SQP_SPECTRAL,531,167,31.45009416195857,244.1380905508982,55.5688622754491
SLP_APR0_BQ1_ATR1_SQP_SPECTRAL,531,167,31.45009416195857,245.85238032335326,55.5688622754491
SLP_APR1_BQ1_ATR0_SQP_SPECTRAL,531,158,29.75517890772128,229.19646412658227,53.69620253164557
SLP_APR0_BQ1_ATR0_SQP_SPECTRAL,531,158,29.75517890772128,231.54855481012657,53.69620253164557
SLP_APR0_BQ0_ATR0_SQP_SPECTRAL,531,154,29.001883239171374,227.51654214285716,54.72727272727273
SLP_APR1_BQ0_ATR0_SQP_SPECTRAL,531,152,28.625235404896422,232.22199520394736,51.13815789473684
SLP_APR0_BQ0_ATR0,534,106,19.850187265917604,160.6337417547169,45.24528301886792
SLP_APR0_BQ1_ATR0_SQP_IDENTITY,531,101,19.02071563088512,57.95482667326734,42.05940594059406
SLP_APR1_BQ1_ATR0_SQP_IDENTITY,531,101,19.02071563088512,60.95232532673269,42.05940594059406
BASE_SLP,531,101,19.02071563088512,129.17314461386138,42.26732673267327
SLP_APR0_BQ1_ATR0,531,100,18.832391713747647,133.53704485,46.98
SLP_APR1_BQ1_ATR0,531,100,18.832391713747647,134.73766223,46.98
SLP_APR0_BQ0_ATR0_SQP_IDENTITY,531,98,18.455743879472696,46.57995567346939,46.326530612244895
SLP_APR1_BQ0_ATR0_SQP_IDENTITY,531,94,17.702448210922785,70.57578228723405,47.723404255319146
SLP_APR0_BQ1_ATR1,531,86,16.195856873822976,182.0354246744186,43.73255813953488
SLP_APR1_BQ1_ATR1,531,86,16.195856873822976,182.51196997674418,43.73255813953488
SLP_APR1_BQ1_ATR1_SQP_IDENTITY,531,80,15.065913370998116,60.530815024999995,36.3125
SLP_APR0_BQ1_ATR1_SQP_IDENTITY,531,80,15.065913370998116,62.10913383749998,36.3125
